0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-227.11163,46.665745,8.079849,51.652443,9.753553,0.19391836,-23.503304,-7.602811,-17.83032,-13.474844,-11.752444,-14.446896,-10.392406,4.0828214,-10.999253,0.7314377,-6.6769395,-3.3738036,-6.736426,-0.71440786,-14.680384,0.59588504,-11.51422,-2.5222101,-5.2981715,4.52481,-0.56981725,10.437379,1.5548248,12.140652,7.7904053,5.337691,2.8025997,8.000715,-4.506024,2.2396307,-1.5832757,5.7408066,-2.0621734,1.4378338,f_angry
-275.76593,84.05625,17.21855,45.256855,21.202341,8.702839,-33.137794,8.280299,-7.9178195,-16.434767,-1.7399082,-8.227034,-17.127823,2.1899228,-4.4533315,-6.874803,-4.894741,-10.7964735,-4.585038,-3.1985834,-11.157464,-0.7951938,-2.731714,-1.331508,-5.315905,4.9715695,-1.0286286,2.4884052,-3.887465,7.797897,2.256742,9.476431,2.6417615,9.629322,0.5399431,8.037901,4.756939,2.3159468,-0.44940984,1.0849746,f_angry
-263.0191,94.272736,4.807485,31.623209,7.2801056,-1.8752774,-23.205608,1.3047205,-14.193208,-20.24195,-2.7127652,-2.5737805,-17.455153,7.6415873,-11.348961,-10.805536,-6.3025475,-9.181185,-11.889886,-1.6601756,-11.595411,-5.1877337,-9.237702,-0.46758235,6.0885754,16.254026,19.54779,29.779076,16.15287,12.553805,-1.1373562,-5.140746,-13.796832,-3.4089057,-5.6699185,5.491805,-2.6571221,-6.448007,-6.949724,-5.1203594,f_angry
-204.34596,96.072464,11.429565,23.080412,16.66089,-6.468138,-46.67611,-10.396941,-12.985055,-17.417772,-6.2553735,-13.3719,-7.9405046,8.840953,-7.9068646,-5.314312,-5.3714514,-9.5805855,-4.819153,-1.0749843,-24.338518,3.0035799,-9.117059,-10.346677,-10.520554,5.871246,-2.9195874,6.463257,-0.9357028,12.108497,6.3060155,5.1982145,-0.75150204,8.6776285,0.85037,10.019891,5.3177934,9.331341,2.4286053,2.0287979,f_angry
-240.58794,116.818794,17.885433,10.360331,7.894122,3.5263963,-35.872158,-14.121826,-7.812964,-11.501205,-1.1932899,-6.3563867,-8.858887,3.4301887,-9.280764,-0.83404595,-13.776599,-10.205261,-1.1351868,-3.2953577,-12.774494,-3.883558,-8.562968,2.7060094,-12.917885,-2.8977325,-2.4829893,4.53343,1.7061468,9.857083,5.4308195,16.898573,9.863119,12.846524,4.2568817,6.763786,-0.5226375,6.7289867,-3.9705565,0.0847954,f_angry
-250.02359,15.313022,-1.1829041,48.547466,-6.8159432,5.846131,-26.727148,10.843595,-11.244702,-8.912965,-11.770006,-10.240584,-9.314397,7.9393697,-10.875778,4.3186173,2.0793614,6.780612,-3.3024948,9.803325,-7.4796524,14.676381,-3.6371462,3.5701818,-4.345761,6.2869954,-4.8036876,2.8936236,-9.933238,6.948342,-3.815894,0.3607246,-2.799427,6.8331375,-4.4347153,3.6623719,-4.353312,3.3820674,-3.5482032,1.7212826,f_fearful
-254.63612,112.89833,10.001495,10.074734,6.7843623,3.5918503,-14.564276,15.315573,0.696683,-1.7712418,3.5747828,-4.665882,-12.422229,-3.2069864,-2.751674,-1.3332312,-8.372673,-4.4918327,-3.1185396,-0.8026757,-14.996141,-0.35808873,-8.58368,-4.703023,-11.077492,-3.9348292,-8.450895,2.5526834,-2.3533309,12.383069,9.693396,15.357551,9.701615,16.57651,0.77099043,7.6082673,1.546851,5.528616,1.2159369,1.4948082,f_fearful
-238.55826,63.81457,1.8790226,49.76249,29.856071,8.960527,-18.344559,17.910316,-4.7104316,-2.6318176,2.6429255,-3.0446517,-8.798192,0.8161517,-3.7249064,1.4908863,-4.5666256,-4.973974,-1.9781888,0.91271317,-11.619192,0.061011396,-8.683849,-1.8519871,-3.6826782,1.2297165,-4.179584,2.6884017,-3.3874824,3.4729905,1.1209571,1.7120609,4.3122344,8.755659,-1.2329994,6.36534,3.2721975,5.479588,-2.2201416,3.1135144,f_fearful
-254.25255,82.45796,8.10756,17.779547,19.121271,20.87854,-13.650869,17.640062,-3.5596418,3.817712,2.3924701,-2.69248,-7.970347,-4.4505477,-7.144324,2.6601954,-5.357924,-4.6253657,-5.622617,3.3035135,-12.524545,3.1076972,-7.2901015,-1.9789076,-6.982328,2.5798638,-7.0266805,3.1535525,-5.2268124,7.31246,1.6297529,7.6565714,1.7897247,9.439227,0.38561064,6.3193746,1.3577855,4.5038652,2.4214828,4.4366403,f_fearful
-225.03998,102.14321,3.0199664,2.5155795,-4.931707,4.917308,-20.246904,-2.6626067,-10.183516,-14.57595,-0.4079124,-9.911567,-19.403507,-8.727331,-8.076473,6.402592,-3.5205162,5.3854165,14.060666,21.301218,9.981403,10.958313,3.9656005,11.958607,-2.0450065,-0.7904635,-1.8357191,-1.2081993,-12.831552,-4.394624,-4.3238654,-5.8365107,-8.221535,-0.9958302,-6.102141,5.871111,2.418285,2.319326,-4.80076,0.43182063,f_fearful
